200000 200000
1 38314 95645
1 20948 183885
0 34256 67270
2 43042 99155
2 88531 163388
2 22248 48041
1 121870 140153
2 14653 150640
2 159712 181076
2 67988 120316
2 79985 104209
0 92028 180223
2 13490 163845
2 63000 91594
1 67883 104737
0 6483 189323
2 146637 157599
2 97277 151282
2 52714 173342
0 93658 135915
2 78543 197867
1 89896 175837
2 10432 19738
2 79283 111332
1 107528 132421
1 99161 121744
2 55187 195696
2 133083 146978
1 25632 116045
2 15610 51960
0 46855 189927
0 22692 44230
0 78756 149476
1 145111 193479
2 52639 171202
1 68152 133161
1 123339 185251
2 16682 172774
1 29038 114759
0 130369 131089
2 120296 126797
1 120373 164527
1 120197 159635
0 69467 139759
1 157021 187005
2 90182 166672
1 68084 191785
2 8467 81543
1 37506 41981
2 34816 84947
1 11744 195963
2 3965 132118
2 67364 168667
2 24779 163887
2 11784 121873
1 132499 178457
1 11278 162893
2 44436 46100
1 53696 86418
2 37586 176052
2 145128 149902
2 34501 70219
2 121105 137583
1 101470 167345
0 23344 199403
2 72195 188483
1 67746 83473
2 45925 55146
1 51013 99622
1 75674 84387
2 20802 35411
0 81828 171656
0 9113 176715
1 156622 176458
2 92214 161307
1 80697 177777
1 64795 89056
1 79580 119941
2 114541 170955
1 35919 171694
0 7105 27588
1 52807 88934
1 64598 182001
2 13972 54975
2 16283 181168
1 88061 194060
1 67149 199469
2 79049 129710
2 154549 193590
1 79010 145862
1 79145 173450
2 16435 142610
2 41732 123560
0 76143 137532
1 35052 87013
1 106448 123113
1 122933 190262
1 36325 87862
1 89084 190874
1 61261 69885
1 5132 65382
2 81817 156108
2 112371 123550
2 166987 199693
1 3058 76578
2 25859 118805
1 148792 155092
1 107200 153006
2 42090 138357
2 19703 163105
2 24835 50067
0 97296 110480
2 9667 113502
2 93006 156437
0 85936 136903
2 4741 152422
1 7407 76185
2 169006 183385
0 121743 166930
1 1200 155728
2 47116 51268
1 87534 161748
2 126121 191602
2 88259 148039
2 84943 166442
1 153717 164035
1 71136 77476
1 46482 159733
1 84984 129764
1 1845 85030
1 48961 104780
2 136495 149365
2 91246 178968
1 67227 159146
2 120052 150021
1 83246 114057
1 51182 101545
0 95304 177630
2 39163 62614
2 21117 63997
1 4271 168777
0 34494 71398
1 125740 183920
1 1238 4397
0 37642 89266
1 59077 120888
1 98958 172071
0 132668 183727
2 12860 22890
0 22816 160359
1 34618 164630
2 95380 152380
2 125342 136301
0 57050 134272
2 10429 62668
0 38098 152960
1 125900 137056
2 69724 116737
2 85204 198936
1 21753 32638
2 44068 56371
1 68103 140628
1 71681 193445
2 44069 44827
1 19210 54499
1 31236 123811
1 80502 166064
2 18191 199153
2 710 23255
2 33348 167561
2 188578 193768
1 50748 174225
1 112253 122430
2 83609 102934
2 67018 102819
1 10122 50407
1 74972 130909
1 149100 193230
1 13917 88707
2 117189 172620
2 158565 161198
2 51776 56313
1 22164 164029
0 14164 183316
2 50234 166686
1 140803 176808
1 51780 71536
0 84684 161362
2 13338 91632
2 8821 26350
1 105414 167386
2 140051 178247
1 78567 101828
1 64191 92732
1 59318 110163
0 122 58954
1 174505 188010
1 20966 189046
2 2385 16527
2 133499 145087
1 23092 50502
1 73884 145101
0 46929 92803
1 27472 75752
1 137635 158369
2 91320 112941
1 87447 117431
1 108413 111674
2 41292 67280
0 114517 174791
2 3280 197884
2 59429 188120
1 171981 197275
1 46749 73028
1 31397 46953
1 39070 106476
1 82472 156501
0 46479 68176
1 51808 199532
2 71322 82677
2 85957 88199
2 71931 145386
2 117115 117368
1 80469 92877
2 43775 128814
1 66603 186035
0 149075 156197
1 130158 195554
1 12532 195086
2 66408 136198
2 70960 151007
2 59243 163701
1 80866 176358
0 111659 185587
1 99128 114402
1 100437 150699
2 124987 172986
1 19496 172129
1 32028 87447
2 168226 170925
1 119233 137081
1 189194 199286
2 103045 196505
2 50617 108164
2 7293 78658
0 66826 157992
0 37949 199331
1 158147 171461
1 73900 175260
2 146186 184740
1 194692 199619
2 75604 188813
1 8210 132111
1 58827 164976
1 53837 183429
0 37015 116284
1 74964 149576
2 33112 188558
1 107012 130684
2 8104 21190
1 79922 119148
1 111104 174240
1 43215 67844
1 8192 74305
1 72578 191621
2 24258 194497
1 107111 173834
1 78745 102705
2 9429 186112
2 30620 161132
1 26894 82337
2 1134 119514
1 145503 185330
1 59635 96055
1 48566 105435
0 159415 168652
1 66526 68884
2 160433 169232
1 71696 85094
0 32828 33120
0 31518 105602
1 97232 151032
2 96535 199967
1 62270 108943
2 14378 132764
1 27584 99382
1 30310 168266
1 39575 45052
0 11232 46498
1 25023 79618
1 69434 101572
2 57092 198805
2 45884 198772
1 52710 177394
2 26511 119172
1 34200 54095
2 758 24995
1 40333 82317
1 25222 167917
1 39824 192941
2 3607 178727
1 35819 198907
2 61592 198055
1 20812 50766
0 86290 88975
2 120491 171516
2 61838 69791
2 52684 144155
1 85730 196982
2 71426 125554
2 45513 58192
2 146531 160773
2 22365 33675
2 35944 43177
1 131959 132152
2 20020 138133
1 6163 114754
0 92134 175199
2 26198 172181
2 44532 159959
2 18152 55807
1 78514 164683
2 20688 198359
1 150655 193621
2 17321 82614
1 127311 137099
1 51853 190496
1 60339 115519
1 86538 184698
2 55959 131070
2 103230 169127
2 44160 181744
2 79966 118784
1 54489 112405
2 46078 188541
1 54745 89741
1 80237 140969
1 66060 195757
2 49998 96807
1 69119 122470
1 154598 154902
2 5485 115110
0 137104 195076
2 165917 183434
0 154458 180419
2 9203 176370
1 25772 66524
1 127028 132584
1 88623 98934
1 53108 137757
2 65015 92659
2 14496 96505
2 109738 151601
0 74460 135035
1 31807 151587
2 8177 191144
2 120443 150302
1 77330 129980
1 82305 167977
2 102782 135413
2 23058 116780
1 13285 14284
2 4268 39376
2 22032 113836
0 5713 65423
2 56567 143852
1 123898 177011
2 23343 170468
0 65974 191320
1 10455 60415
1 33513 108964
2 47798 50173
1 5878 168418
1 29536 190451
2 188229 196164
1 56369 178730
2 10112 180267
1 67088 75444
2 133062 134458
2 109829 192129
1 18794 68861
1 178725 185319
1 101875 107549
2 64401 137085
2 41666 140763
1 82548 136748
1 146860 197253
2 5320 138656
2 36731 189466
2 59462 181595
2 9000 166808
1 108403 145534
1 47409 55605
0 87577 111811
0 52574 110000
2 44939 51475
2 152600 165080
1 40528 170400
1 123483 195544
2 182945 199974
1 108297 114234
2 16701 47288
2 82013 188658
2 140639 192587
1 19998 102587
0 57376 63878
2 132830 147854
1 68840 173358
2 44835 85254
1 1581 126649
1 115815 190058
1 20275 79456
2 77821 196027
1 18461 135540
2 154811 186864
0 7114 128539
1 76393 195192
2 61586 148349
1 22773 188259
1 149422 151653
2 14344 55832
1 76108 185332
1 72135 89374
1 7675 98425
1 110891 183712
1 4289 118005
1 29549 88745
1 106032 177899
0 129381 166158
2 34163 37984
1 48507 64521
2 33840 123225
2 39566 61385
1 137991 193718
1 38055 60865
2 42345 199175
2 66024 131090
1 9267 153474
1 82855 130448
2 37192 74403
1 84132 101713
0 24938 149693
2 2675 91363
1 21519 196393
2 75703 173610
0 40777 172785
0 38810 123857
2 36487 164429
1 11230 43367
2 1985 132758
1 2469 56313
0 144727 152162
2 66981 159877
2 97749 145153
2 161316 173452
2 130581 131887
2 28451 54439
2 7278 172458
2 69939 166997
0 16108 50275
1 184156 188773
0 19749 133500
1 80281 116833
2 59839 178338
0 56006 152143
2 134410 187894
1 16345 89462
0 105155 199676
1 175094 190671
0 141722 192897
2 113459 125878
1 120139 145627
1 111685 142260
0 63108 118452
2 28633 70595
2 83961 121357
1 10819 69871
2 110220 126847
1 74199 117519
2 5176 26768
0 68612 140227
0 4470 176718
1 88403 106531
1 9074 67864
2 6306 96497
2 59545 96810
2 100678 166682
1 190861 193254
1 69847 183806
1 40279 105334
1 152434 173946
2 94768 190466
2 1300 174126
2 16399 126726
1 93475 133032
0 41147 108930
1 9608 110177
2 469 106378
2 145778 186668
2 26948 102698
1 2737 179382
1 43004 169848
2 59990 60327
2 81731 193078
2 86553 171336
1 44053 73790
1 73054 154230
1 71705 176960
0 39090 147258
1 122969 141788
1 4014 60878
1 103882 175357
2 41469 80224
0 108881 161955
1 103019 133291
1 123433 146542
1 98994 112840
2 177407 184545
2 48155 56290
1 38193 171124
1 91490 163396
2 183199 184333
1 24669 175118
1 49902 142583
0 19477 152922
1 15816 99277
2 114810 139482
1 92218 133917
1 21664 64860
1 19405 64854
1 49832 99153
2 12040 83486
2 58604 78130
2 24445 117539
2 49068 137017
1 6982 152646
1 4681 92129
1 115221 142398
1 80415 93953
1 37193 145269
1 67908 195101
1 7141 106466
1 1623 128223
2 26069 91001
1 103681 191489
2 114823 185636
1 83406 119504
1 12339 34725
1 45031 149842
1 152205 198576
2 66484 173973
0 11246 172950
1 17525 132005
1 108526 111369
2 8272 12208
1 114196 158544
1 113954 177814
1 5566 42646
0 175716 192488
1 26281 61046
0 35019 138467
1 45754 162618
1 76534 94623
0 5992 108937
1 83762 130616
2 89160 166427
0 47564 183327
2 164557 188893
0 116275 164609
2 29377 107242
1 24702 162061
0 119216 124167
1 117053 186681
2 25990 71671
2 26104 181539
1 19968 108884
0 156448 172592
1 121005 155523
1 37280 181100
1 66657 115518
2 7712 194629
1 43280 141464
2 29961 50917
1 17984 54994
2 115876 181415
2 38452 135844
2 24788 184650
1 30527 180312
0 65297 161412
0 181028 193282
0 120353 187912
2 45728 138091
2 12998 163644
2 22602 184344
2 107551 165759
1 51308 120563
2 21566 187597
1 52093 196686
1 33743 43132
1 126858 131123
2 51477 109946
1 100746 105920
1 69565 134827
2 92167 115221
1 113599 116070
1 27854 83730
0 187679 194304
0 184365 185543
1 73446 143849
2 122762 187060
0 97006 165360
2 28574 197753
2 132580 137516
1 47801 59457
1 77752 82093
2 21958 70489
1 16263 95800
2 118158 142677
2 41647 191605
2 7065 114367
1 187254 196079
2 135272 141005
2 78521 105562
1 54330 145418
2 136424 193793
2 74590 123265
1 19065 39118
1 161742 191326
2 44251 119741
0 41025 126806
1 30412 141212
2 82036 138405
1 49703 187599
2 49369 93581
0 17964 43162
2 20099 34104
0 44193 73223
2 84550 180901
1 25152 159418
0 142242 182529
1 39434 123741
2 49056 178498
2 28201 116036
1 38134 61537
1 56098 177720
2 30328 192550
2 36743 122552
2 33842 121294
2 139577 197064
0 139306 165054
2 150042 178740
1 49090 144149
0 62878 176537
2 64266 154426
1 115022 132146
1 41645 78826
2 1379 86020
1 119970 151573
1 7502 51173
1 7528 88909
2 38951 146412
1 88041 125390
1 67271 82867
1 101249 131537
2 157765 162912
2 4557 186732
1 8249 90577
1 126899 182862
1 78768 94424
1 101952 171739
2 48364 120368
1 164089 173755
2 68312 172974
2 149071 190575
1 148340 184257
2 51425 67941
2 30451 176026
1 110693 158888
0 37657 58859
2 9396 14528
1 46116 59106
0 10205 58987
2 78517 146909
2 27589 102103
2 128198 188834
1 154829 196139
1 125381 142942
2 169987 186510
2 28847 90890
2 6046 159727
2 106802 135186
2 88626 194173
1 127854 141083
2 159538 172759
0 64724 91888
1 19553 192061
0 61286 143659
1 47796 71283
0 55038 157796
1 177436 198318
2 590 48236
2 60622 89216
2 17070 199566
2 17027 106182
1 114422 178429
2 68029 106483
1 50142 70120
1 15153 121425
2 130174 195574
0 190394 193892
2 126694 158481
1 135455 198179
1 63838 135021
2 103284 152048
1 46829 185916
1 114858 165976
1 165589 184978
0 132 26488
2 46658 51535
2 37053 47972
0 80099 105493
2 78278 79956
2 142117 143636
1 45401 140738
1 44022 147670
2 29998 61728
2 102269 195588
1 109304 138428
0 154116 189964
1 37936 194503
2 59782 145134
1 54246 56090
2 98813 199726
1 56816 194754
2 100838 159096
2 78918 86619
1 12648 97539
2 6843 123656
1 67500 77312
2 71815 141651
2 16949 169206
1 187547 193213
2 86360 95498
0 139900 197467
2 72915 146055
1 132585 159534
1 32761 88534
1 12191 44877
1 195421 196043
2 135930 137694
0 23253 147079
1 101658 132818
0 28316 145031
0 168216 188131
1 30623 88048
0 5155 79560
2 1180 112321
2 73550 94745
1 68972 111506
2 4902 121930
2 120522 151981
1 136062 169991
2 31374 139150
2 19506 144950
2 64569 107554
2 57103 112709
0 41875 113889
1 124987 198829
2 84327 152845
0 74775 165868
1 101455 195297
2 47712 176648
1 184658 186862
1 48164 137337
2 58231 112733
1 86188 126101
2 73532 128063
2 43244 49636
1 127571 182938
1 9791 101565
1 111247 141445
2 4247 49659
2 44215 105257
1 42594 70146
2 17178 115583
2 143279 184926
1 133163 166978
2 179272 182799
1 32904 82090
0 100007 123030
2 120635 157804
1 7463 113537
1 70504 168031
0 14332 154529
1 6325 70113
0 27402 171391
2 51020 54722
0 119052 150346
1 30329 183250
1 22632 69178
2 117818 143267
2 56805 194057
0 127309 190895
2 57993 92990
1 64318 154032
1 8073 32252
1 170104 175445
2 94497 124767
2 124827 178581
1 30838 110357
2 28175 66749
1 138584 176817
1 10701 129479
1 12615 138821
2 85411 92854
1 28320 125106
2 58973 95210
0 136329 144347
0 31263 180068
1 62101 199039
1 45202 156994
1 22020 141865
1 16245 32721
0 134286 161688
2 47100 193969
1 75420 150674
1 50745 115452
2 172027 195093
1 123099 175161
1 90552 115351
2 47546 134311
2 105764 181447
2 122009 167166
1 56296 82365
2 52737 166617
1 115963 117291
1 20647 149095
1 121122 136894
1 44221 105823
0 75924 106014
2 10236 168307
1 75802 191683
1 75201 121669
2 32961 73918
2 126655 189589
2 109670 158970
0 21523 179618
2 32864 184121
1 58165 138687
2 44702 107369
2 13009 163478
1 5163 67133
1 43184 76552
1 76145 124332
2 28409 182086
1 91756 131806
2 29631 152495
2 13753 122278
1 45888 188270
2 11991 13719
2 57474 175469
2 27818 42602
1 22548 35506
1 159839 176128
2 104600 119979
2 36406 106837
2 52665 105253
2 94464 143884
2 85479 189772
0 3491 98829
1 60965 189586
1 5135 93351
2 27684 118632
1 103448 120164
1 156495 164410
0 123810 179684
1 148702 174966
0 43166 55754
2 66647 128645
2 143826 182162
2 133412 193317
1 96293 143116
1 158223 178100
2 81548 172012
1 45958 61992
2 56572 169768
0 61087 120263
2 89207 116841
1 2035 99841
1 104635 198355
0 10726 191672
2 4317 94134
2 78893 99030
2 131610 167257
2 29250 117059
1 2174 59003
2 96983 122437
2 11644 83666
0 113514 130031
0 34666 104712
2 39736 45392
1 24524 139527
1 38557 152429
2 86520 174785
1 78690 119931
2 28554 178934
2 180890 192269
1 75935 194313
2 40929 105802
2 103739 126866
2 164904 166602
1 17741 191126
2 107600 143555
2 34693 76352
1 113383 128714
2 10325 141937
2 10463 39179
2 49391 149844
1 16315 190774
1 10865 196918
1 128540 175769
2 21907 193510
0 17463 54800
2 42603 93815
1 116926 138881
1 27532 149207
2 76022 117072
2 115234 125413
2 58080 105683
1 1934 171351
2 16243 141403
1 38150 131122
2 28319 92951
2 135554 185424
1 168833 177222
1 82404 112717
1 45875 146142
2 164877 177728
0 33724 83411
2 1697 93345
2 80183 143100
2 74222 159142
1 18893 31612
2 4318 37896
2 97892 137996
1 176978 180296
0 81518 142523
2 107401 178433
0 762 141125
1 150823 197523
2 147358 165635
1 106501 149990
2 54465 172496
2 4305 92361
2 30358 88021
2 56921 123688
2 121558 138539
0 82651 99992
2 4491 17106
2 14629 126094
2 49394 96616
2 46606 115794
2 135455 172768
1 48636 139760
2 144133 161525
2 1055 55955
1 55946 163386
1 13340 54950
0 59441 170695
0 101888 185527
2 151183 151282
1 67077 180549
2 32768 39845
1 4833 139452
0 54849 166359
2 605 138666
1 102052 186400
2 10106 115392
1 2439 133804
2 74608 187967
1 55502 146393
2 114794 152403
1 46154 185171
0 40975 112968
1 95824 119543
1 12781 186604
1 115534 171071
1 125640 127837
1 23201 175797
2 10711 50405
1 100108 113151
2 24436 144297
2 48545 190451
2 103420 112500
1 139315 181288
2 125919 132787
1 13343 22952
2 131522 141180
0 80734 155485
2 7797 181887
2 107905 112608
1 15183 132342
2 70161 180887
2 26662 93387
2 24138 191027
1 117438 123814
1 56224 63119
1 194192 194641
1 66478 174153
2 129910 164717
1 52425 77325
2 8860 88091
1 79021 184407
1 71174 105683
1 129821 177713
1 23567 163612
1 19836 111693
1 129514 130381
1 4868 104534
2 34444 160955
2 86870 124840
2 91313 196630
2 75720 117114
2 63246 134837
1 40959 162300
1 180791 180879
2 8924 39448
0 54791 77576
0 59659 110345
1 20614 125945
2 145454 189911
2 47554 58436
2 30409 91902
1 26740 92286
0 105392 176199
1 86183 189933
1 41983 199983
2 29869 35911
2 62609 190137
2 171290 188554
1 94817 186888
2 5708 58723
1 32194 89133
0 50752 97771
1 48908 73970
1 88024 180255
1 24371 180238
2 10108 169643
0 116597 169705
1 29427 87887
2 26115 74776
1 84609 196836
2 1540 145382
1 112486 126726
2 78651 161395
1 135969 165771
1 112175 190143
0 130364 159786
2 100816 129491
1 75270 133878
1 17737 71846
2 18699 104631
2 136591 196140
1 63317 176782
2 55196 58321
0 110642 123932
1 22817 172923
0 69533 118505
0 170350 190547
2 20580 179186
2 55713 92426
1 123367 197057
1 104210 109550
1 30436 86332
2 57880 101852
2 98164 134663
1 71088 133245
2 38323 105945
0 12845 103186
1 97541 192031
2 47744 199871
2 36290 171112
1 75322 91408
2 22110 83117
2 40314 170848
1 116900 174977
2 24575 173595
2 169459 179250
2 82436 151208
2 19660 96330
1 96201 108691
1 90149 132491
2 101368 140251
1 22137 23368
0 29238 194217
1 94220 111117
0 1064 173719
1 86875 124305
1 13541 38084
2 57744 199270
1 166435 177031
0 2536 172936
1 115505 190656
2 12793 20148
2 63254 158384
0 30323 168956
1 5073 142675
2 4398 183333
2 99325 196874
1 160336 196145
1 34030 89528
2 3924 8416
1 22662 40273
2 60421 181650
2 40028 80359
1 89637 186703
1 126385 191776
1 47845 112526
0 11851 172532
2 135304 172187
2 6217 72171
2 8178 126494
2 117122 149156
1 16722 47158
2 43870 45467
2 49859 148949
1 21387 176244
2 36500 140441
2 112974 151299
2 164630 179324
1 3494 153153
2 33544 161332
2 72010 78454
1 11528 150749
1 6261 56995
2 5944 101802
1 27331 184045
2 58065 180184
1 47835 160962
2 27159 75711
2 78999 147005
2 4856 180549
2 57208 168911
2 119660 175067
2 56437 125921
2 27723 98029
2 11769 105833
1 89881 186186
2 14370 63500
1 55563 168186
0 2983 134562
1 55771 190934
1 29331 140217
2 658 120750
2 93540 156275
0 85240 107921
2 13754 136501
0 103635 131445
2 22926 34358
0 2544 162241
1 5527 128716
2 112814 158547
1 168928 169383
2 64571 170042
1 126317 196227
2 127909 137452
2 139104 180762
2 112208 152526
1 68485 135134
1 13727 47945
1 82969 142443
2 100991 168907
2 110616 186271
1 167194 198008
1 122502 163421
1 17225 140537
0 66493 156330
1 6203 25208
2 93693 165901
1 57991 159957
0 140960 156557
1 75037 109867
2 20483 22682
2 23359 134843
2 57345 110430
1 114234 123819
2 180727 181469
1 103283 103529
1 69184 170502
2 29142 172608
1 102051 188442
2 63072 177088
1 116123 155044
2 139482 149640
1 49913 111430
1 90084 152993
1 11782 71553
2 59605 175082
2 132636 145584
1 34545 99361
1 22987 40428
2 2411 38808
1 30702 73808
1 23448 159432
2 134878 139356
2 4223 92978
1 16006 160835
2 9419 191963
2 77638 124600
1 98689 140313
2 97093 181587
0 50184 135901
2 128573 166604
0 42388 123086
1 57081 181744
2 157341 191075
1 64037 151910
2 77681 125934
0 79265 155319
1 10885 170360
2 60698 151947
0 49851 118483
2 47057 157767
2 139491 170143
0 61015 143576
1 100917 117417
0 164954 178042
0 7240 171026
2 2857 155973
2 13743 181872
2 148084 190793
2 40644 95037
1 94244 114763
2 60055 170606
2 31621 184606
1 90902 149038
2 104624 127081
1 14459 153905
2 86784 197218
1 68656 195851
1 133092 164844
1 2136 144481
1 38726 157912
2 15133 160745
2 116092 166425
2 6994 199329
1 111618 165854
2 13685 181875
1 68756 95446
1 7649 126685
2 114708 172493
1 90981 93525
1 29339 48894
1 79916 125991
2 17451 92417
2 8098 102960
2 21156 90305
2 99136 103990
2 172747 191576
1 15784 87151
2 130492 167735
2 24018 65058
2 23215 53357
0 20098 49625
1 148467 183428
2 86389 192927
0 23897 160734
1 39385 156511
2 134163 147313
1 34465 123614
2 2200 120713
1 90306 183610
2 6826 67232
0 9404 143276
0 8095 77567
2 117375 154500
1 39531 78109
1 47571 150972
2 43249 85135
1 44379 125101
0 45815 144940
2 52473 92346
1 119705 180122
0 121255 129109
2 28365 123028
1 35256 77528
1 117059 128535
2 45712 164630
2 2274 124232
2 22501 84963
2 77194 146255
1 38602 50438
2 7293 135076
2 87326 172684
1 110636 117401
2 58393 152657
1 81193 123525
2 43257 66766
1 45531 77331
2 173031 184384
2 61578 110185
0 9506 28369
1 35662 161300
0 32799 122989
1 66111 149977
2 106100 124722
2 48247 139969
1 7249 115013
1 39160 108696
1 111655 198079
2 24617 185465
1 5531 34123
1 64198 195424
0 90646 144575
2 10687 173426
0 33139 173608
1 42799 89460
2 96709 109535
0 103176 135870
1 58700 163877
1 65695 114960
2 71226 149151
1 51776 95359
2 109934 142423
2 47497 115849
2 5809 51390
2 164960 180004
2 74495 156866
2 81444 94023
1 152723 198367
1 29721 184036
1 85692 133187
1 92138 144899
0 54833 94009
2 102330 156807
2 70072 146644
1 50077 85972
1 114760 123295
1 121091 156609
2 35810 50681
1 65531 108630
1 32274 67575
0 76066 143496
2 86427 106494
2 128268 159586
1 65891 106230
2 42027 108554
2 139666 183124
1 96275 115069
1 141037 146956
0 36080 171938
0 4212 31512
1 64060 160131
2 33649 86907
1 15175 78352
1 25385 197418
2 155797 158843
2 58730 138922
2 170343 198264
1 27732 142538
2 38974 180164
1 11676 117293
2 63188 88159
2 1501 121808
2 26241 116512
1 58250 126919
2 133445 133827
2 165641 192176
2 137121 190440
1 49330 121229
2 4656 52293
1 71647 121950
2 95214 101490
2 102992 182842
0 45585 190080
2 12494 88857
2 22684 148677
1 40658 104678
2 158151 187913
1 21863 195732
2 83545 164377
1 36025 125392
2 95267 131239
1 30433 153301
0 20514 49496
2 33008 62204
2 133161 181685
2 137564 138696
1 126609 166847
2 148473 186571
1 32018 55625
1 45687 157410
1 74052 169029
0 87555 122331
1 120402 171827
0 34031 198834
2 82476 83545
2 137461 188802
0 32510 104309
1 34369 90880
2 31961 62857
2 24896 193931
2 98948 108277
2 37511 186503
2 106905 113531
2 10064 22092
2 20920 139606
1 126074 167185
1 49812 158584
1 59048 192953
0 16758 141267
1 122838 135198
2 102680 159827
2 167904 197339
2 39107 110870
0 114842 120934
0 24608 176892
1 60429 134271
2 110241 181395
2 49181 169290
1 7846 102400
2 141590 145721
2 44270 192140
1 53859 128527
1 18434 83986
2 89915 198828
2 99839 139788
0 74059 130684
1 3954 55455
2 20988 35809
1 28834 60617
1 26692 174555
0 44317 83047
1 53259 138121
1 29265 71693
1 31278 161608
2 177800 186930
1 24836 119475
2 28790 28801
1 64599 164720
2 41568 69930
0 68260 193891
1 28929 143091
2 83403 169265
1 112668 123966
1 60298 162653
0 169 47229
2 83056 93826
0 61542 111857
2 76577 84713
1 45224 62859
2 56751 150921
0 31174 116194
1 85459 110827
1 43738 125777
2 48343 88430
1 4952 47261
0 98778 107626
2 109180 160320
2 55876 161385
2 67171 122961
1 73882 120035
1 105057 157512
1 15884 23918
2 59622 90079
1 24318 68908
2 71579 108035
1 95557 194392
1 80156 121089
2 77778 176965
2 44137 184681
2 80524 154443
1 38036 180957
2 40016 178306
2 68385 184535
2 53645 171182
2 46260 161681
2 72425 126290
2 21450 152581
1 146711 193282
2 126499 131392
1 2188 182677
0 99497 112738
2 64207 139513
0 31561 40400
0 11583 174889
2 57843 58887
1 100486 130816
1 98302 121936
2 103230 115219
2 85124 158070
0 27506 140748
1 50413 169838
2 111357 150397
0 66959 181958
1 73199 90946
1 48438 84931
2 156949 179254
1 185040 193909
2 82065 97139
1 42153 182263
0 9770 49985
1 60006 60183
1 87892 169523
2 18554 154851
2 24338 162150
1 41704 163433
1 120383 149618
1 21775 41666
1 20192 88355
2 50262 62345
0 28683 170240
1 30966 88689
2 58212 94234
1 191548 193119
2 17457 187172
2 172347 175513
1 5961 125132
2 51534 83150
0 171505 174663
1 21768 111284
2 30169 192008
2 75175 139327
0 149913 180365
2 141461 173448
2 37734 128633
2 17333 180522
1 86743 139646
2 113348 191180
2 78080 82196
2 146652 193480
0 110274 140001
1 15177 186227
0 67221 195542
1 6428 85342
2 39428 138753
2 88536 136302
2 23046 46536
1 52746 129668
2 95950 130826
1 150090 193830
1 104105 142350
1 6684 42971
1 73906 82918
1 80334 189131
2 36806 135439
0 23975 129466
2 123107 186863
1 116531 172746
2 12482 13566
1 52934 78924
2 21275 85783
0 64246 174985
0 63516 79364
1 52648 95637
2 89454 113605
2 135272 171002
2 58379 81053
2 14150 147477
0 77396 199993
1 33014 130330
1 59865 132465
2 107450 190822
0 44815 103166
0 89066 198804
2 13651 28761
1 73675 199763
1 190379 197168
1 11318 177595
1 11311 81342
2 113923 160677
1 20543 25428
1 74561 127717
1 172532 187939
1 61598 81186
1 27081 191601
1 178782 181628
1 65755 172008
2 11107 149603
2 136641 147297
1 61220 139570
1 3000 189182
1 171260 193913
1 98205 177140
2 86186 179391
1 6473 194037
1 47001 185255
1 51011 99728
2 65976 178470
1 31463 127191
2 32421 171034
1 98328 160216
1 47828 68427
2 24968 198946
1 27507 101998
2 66647 137896
2 55602 184897
0 977 109833
1 66954 136072
2 28266 110497
1 59270 67757
2 157598 168468
2 142377 188531
2 118860 141324
1 43322 147394
1 26321 38968
1 81923 169718
2 85724 191756
2 44180 169093
2 30933 72446
1 40588 140203
1 21277 25023
1 129907 194886
1 99972 165119
1 62731 112514
0 67834 136644
1 37552 64806
1 123277 177864
1 91900 92370
2 39655 105594
0 29785 80243
